Intersection_Name,Cycle,Phase_NS,Phase_EW
304THN,15,56,56
NVCNVL,15,56,56
NVCCMT8,15,56,56
32THN,15,56,56
304NVL,15,10,102
32NVL,15,102,10
32MT,15,56,56
NVCMT,16,56,56
304THN,16,56,56
NVCNVL,16,10,102
NVCCMT8,16,56,56
32THN,16,56,56
304NVL,16,10,102
32NVL,16,102,10
32MT,16,56,56
NVCMT,17,56,56
304THN,17,56,56
NVCNVL,17,56,56
NVCCMT8,17,56,56
32THN,17,56,56
304NVL,17,10,102
32NVL,17,102,10
32MT,17,19,93
NVCMT,18,56,56
304THN,18,56,56
NVCNVL,18,56,56
NVCCMT8,18,56,56
32THN,18,56,56
304NVL,18,10,102
32NVL,18,102,10
32MT,18,42,70
NVCMT,19,56,56
304THN,19,56,56
NVCNVL,19,10,102
NVCCMT8,19,56,56
32THN,19,56,56
304NVL,19,10,102
32NVL,19,36,76
32MT,19,56,56
NVCMT,20,56,56
304THN,20,56,56
NVCNVL,20,56,56
NVCCMT8,20,56,56
32THN,20,56,56
304NVL,20,10,102
32NVL,20,102,10
32MT,20,14,98
NVCMT,21,56,56
304THN,21,56,56
NVCNVL,21,56,56
NVCCMT8,21,56,56
32THN,21,56,56
304NVL,21,10,102
32NVL,21,102,10
32MT,21,56,56
NVCMT,22,56,56
304THN,22,56,56
NVCNVL,22,10,102
NVCCMT8,22,56,56
32THN,22,56,56
304NVL,22,10,102
32NVL,22,50,62
32MT,22,56,56
NVCMT,23,56,56
304THN,23,56,56
NVCNVL,23,56,56
NVCCMT8,23,56,56
32THN,23,56,56
304NVL,23,10,102
32NVL,23,91,21
32MT,23,56,56
NVCMT,24,56,56
304THN,24,56,56
NVCNVL,24,10,102
NVCCMT8,24,56,56
32THN,24,56,56
304NVL,24,10,102
32NVL,24,50,62
32MT,24,56,56
NVCMT,25,56,56
304THN,25,56,56
NVCNVL,25,56,56
NVCCMT8,25,56,56
32THN,25,56,56
304NVL,25,10,102
32MT,25,56,56
32NVL,25,102,10
NVCMT,26,56,56
304THN,26,56,56
NVCNVL,26,56,56
NVCCMT8,26,56,56
32THN,26,56,56
304NVL,26,10,102
32MT,26,30,82
32NVL,26,102,10
NVCMT,27,56,56
304THN,27,56,56
NVCNVL,27,56,56
NVCCMT8,27,56,56
32THN,27,56,56
304NVL,27,56,56
32NVL,27,60,52
32MT,27,66,46
NVCMT,28,56,56
304THN,28,56,56
NVCNVL,28,10,102
NVCCMT8,28,56,56
32THN,28,56,56
304NVL,28,12,100
32NVL,28,102,10
32MT,28,36,76
NVCMT,29,10,102
304THN,29,56,56
NVCNVL,29,56,56
NVCCMT8,29,56,56
32THN,29,56,56
304NVL,29,10,102
32NVL,29,102,10
32MT,29,30,82
NVCMT,30,56,56
304THN,30,56,56
NVCNVL,30,10,102
NVCCMT8,30,56,56
32THN,30,56,56
304NVL,30,18,94
32NVL,30,47,65
32MT,30,31,81
NVCMT,31,56,56
304THN,31,56,56
NVCNVL,31,56,56
NVCCMT8,31,56,56
32THN,31,56,56
304NVL,31,10,102
32NVL,31,87,25
32MT,31,56,56
NVCMT,32,56,56
304THN,32,56,56
NVCNVL,32,10,102
NVCCMT8,32,56,56
32THN,32,56,56
304NVL,32,10,102
32NVL,32,102,10
32MT,32,13,99
