Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,0.52,4,0.88
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,1.25,8,3.38
32NVL,1,112,6.7,3,0.0
32MT,1,112,0.0,8,0.44
304NVL,1,112,2.06,3,0.0
NVCCMT8,1,112,0.32,4,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,0.93,12,0.13
304THN,2,224,0.48,0,0.0
NVCNVL,2,224,4.07,26,2.83
32NVL,2,224,4.75,31,7.15
32MT,2,224,2.3,24,2.21
304NVL,2,224,3.88,22,6.57
NVCCMT8,2,224,0.64,11,0.23
32THN,2,224,0.38,0,0.0
NVCMT,3,336,1.05,20,0.95
304THN,3,336,0.03,1,4.0
NVCNVL,3,336,0.0,29,0.0
32NVL,3,336,18.21,38,9.93
32MT,3,336,7.38,48,5.24
304NVL,3,336,6.17,51,0.51
NVCCMT8,3,336,0.63,9,0.5
32THN,3,336,0.33,0,0.0
NVCMT,4,448,2.61,22,0.73
304THN,4,448,0.23,0,0.0
NVCNVL,4,448,5.07,34,3.12
32NVL,4,448,33.3,40,4.11
32MT,4,448,8.96,39,7.85
NVCCMT8,4,448,0.5,8,0.38
32THN,4,448,0.72,1,0.0
304NVL,4,448,16.23,68,7.15
NVCMT,5,560,1.41,24,0.33
304THN,5,560,0.11,0,0.0
NVCNVL,5,560,0.48,58,0.07
32NVL,5,560,36.07,67,17.63
NVCCMT8,5,560,0.21,5,0.8
32MT,5,560,4.0,52,2.54
304NVL,5,560,4.03,76,0.63
32THN,5,560,0.2,1,4.5
NVCMT,6,672,8.09,33,1.41
304THN,6,672,0.43,0,0.0
NVCNVL,6,672,0.0,47,0.05
NVCCMT8,6,672,0.0,5,0.0
32NVL,6,672,33.81,41,3.4
304NVL,6,672,4.9,63,2.13
32THN,6,672,1.04,0,0.0
32MT,6,673,3.95,54,2.51
NVCMT,7,784,6.79,26,2.9
304THN,7,784,0.52,0,0.0
NVCNVL,7,784,3.77,52,1.23
NVCCMT8,7,784,0.71,8,0.44
32NVL,7,784,33.71,73,16.1
304NVL,7,784,5.06,91,1.16
32THN,7,784,0.46,0,0.0
32MT,7,785,19.72,48,14.85
NVCMT,8,896,4.68,33,5.68
304THN,8,896,0.0,0,0.0
NVCNVL,8,896,0.0,68,0.09
NVCCMT8,8,896,0.36,4,0.5
32NVL,8,896,14.07,51,6.2
32THN,8,896,0.36,0,0.0
304NVL,8,897,4.04,75,2.03
32MT,8,897,1.85,59,3.37
NVCMT,9,1008,4.52,33,0.92
304THN,9,1008,0.21,0,0.0
NVCNVL,9,1008,0.5,56,0.18
NVCCMT8,9,1008,0.95,10,0.65
32NVL,9,1008,25.04,62,9.23
32THN,9,1008,0.13,0,0.0
304NVL,9,1009,4.43,64,0.53
32MT,9,1010,3.47,56,2.03
NVCMT,10,1120,3.68,27,0.87
304THN,10,1120,0.0,0,0.0
NVCNVL,10,1120,0.0,56,0.09
NVCCMT8,10,1120,0.59,7,0.64
32NVL,10,1120,9.7,59,4.13
32THN,10,1120,0.12,0,0.0
304NVL,10,1121,3.95,75,1.75
